ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title,,,,,,,,,,,,
ILMN_2370685,0.0200279,5.07E-04,3.61036216,-0.3106,1.41E-01,565671708,C6orf1,chromosome,6,open,reading,frame,1,,,,,,,
ILMN_1760628,0.020869,5.48E-04,3.58682114,-0.31076,1.54E-01,291219925,RABL6,"RAB,",member,RAS,oncogene,family-like,6,,,,,,,
ILMN_1799939,0.0204882,5.27E-04,-3.59878109,-0.31077,-1.28E-01,142375765,TAF1L,TATA-box,binding,protein,associated,factor,1,like,,,,,,
ILMN_1655684,0.0207978,5.44E-04,3.58901294,-0.31114,2.68E-01,225579075,SARS2,seryl-tRNA,synthetase,"2,",mitochondrial,,,,,,,,,
ILMN_2285141,0.0209253,5.51E-04,3.58528401,-0.31257,1.91E-01,76257390,USP48,ubiquitin,specific,peptidase,48,,,,,,,,,
ILMN_1726913,0.0166115,3.70E-04,3.70325905,-0.31348,2.01E-01,350606365,RBPJ,recombination,signal,binding,protein,for,immunoglobulin,kappa,J,region,,,,
ILMN_1761159,0.0209253,5.52E-04,3.58477168,-0.31358,2.24E-01,296317242,ESYT1,extended,synaptotagmin,1,,,,,,,,,,
ILMN_1734696,0.0209425,5.54E-04,3.58367596,-0.3162,3.09E-01,73695875,FRG1,FSHD,region,gene,1,,,,,,,,,
ILMN_1885219,0.0155158,3.29E-04,-3.7372613,-0.31639,-8.70E-02,24792039,,,,,,,,,,,,,,
ILMN_1762766,0.0209992,5.56E-04,3.58240361,-0.31782,1.45E-01,125987586,PTPRA,protein,tyrosine,"phosphatase,",receptor,type,A,,,,,,,
ILMN_1693822,0.0154205,3.26E-04,3.74038849,-0.31955,1.06E-01,NA,,,,,,,,,,,,,,
ILMN_1790896,0.0153512,3.23E-04,-3.7427508,-0.32527,-8.58E-02,NA,,,,,,,,,,,,,,
ILMN_1843721,0.0166115,3.69E-04,-3.70383457,-0.32848,-7.56E-02,28149947,,,,,,,,,,,,,,
ILMN_2191759,0.0188199,4.53E-04,3.64327942,-0.32865,1.50E-01,NA,,,,,,,,,,,,,,
ILMN_1884068,0.0185976,4.43E-04,-3.65034224,-0.33055,-1.47E-01,3755569,,,,,,,,,,,,,,
ILMN_1831925,0.0154205,3.26E-04,3.74018581,-0.33274,7.86E-02,23679959,,,,,,,,,,,,,,
ILMN_2068122,0.0171425,3.92E-04,-3.68602552,-0.33983,-8.97E-02,145580603,TMEM65,transmembrane,protein,65,,,,,,,,,,
ILMN_1875967,0.016517,3.64E-04,-3.70798655,-0.34426,-7.28E-02,13748071,,,,,,,,,,,,,,
ILMN_1672349,0.0156528,3.33E-04,-3.73441735,-0.34448,-8.92E-02,NA,,,,,,,,,,,,,,
ILMN_1736112,0.0214395,5.71E-04,3.5745585,-0.34512,2.09E-01,50843947,ARHGAP10,Rho,GTPase,activating,protein,10,,,,,,,,
ILMN_1662886,0.0198244,4.94E-04,-3.61795237,-0.34897,-1.88E-01,740085816,KLHL34,kelch,like,family,member,34,,,,,,,,
ILMN_1762167,0.0189174,4.57E-04,3.64124361,-0.34999,1.94E-01,264681493,GTDC1,glycosyltransferase,like,domain,containing,1,,,,,,,,
ILMN_1724145,0.0214395,5.72E-04,3.57406013,-0.35217,1.77E-01,55770829,CBX4,chromobox,4,,,,,,,,,,,
ILMN_1778238,0.0215808,5.81E-04,3.56943388,-0.3526,1.94E-01,49574528,UTP6,"UTP6,",small,subunit,processome,component,,,,,,,,
ILMN_1740010,0.0215808,5.83E-04,-3.56850772,-0.35467,-1.95E-01,126723563,PCNX1,pecanex,homolog,1,(Drosophila),,,,,,,,,
ILMN_1738047,0.0207242,5.41E-04,-3.59101048,-0.35506,-2.85E-01,256773223,FAM170B,family,with,sequence,similarity,170,member,B,,,,,,
ILMN_1802573,0.0164164,3.59E-04,-3.71216292,-0.35633,-8.39E-02,NA,,,,,,,,,,,,,,
ILMN_1826853,0.0158945,3.39E-04,-3.72910216,-0.35662,-9.01E-02,9511535,MRO,maestro,,,,,,,,,,,,
ILMN_1714352,0.02028,5.17E-04,3.60436131,-0.35851,1.97E-01,62945416,DMWD,dystrophia,"myotonica,",WD,repeat,containing,,,,,,,,
ILMN_1688372,0.0216093,5.86E-04,3.56694058,-0.36276,2.23E-01,75812961,NEPRO,nucleolus,and,neural,progenitor,protein,,,,,,,,
ILMN_1703727,0.0162182,3.51E-04,3.71874998,-0.36365,9.58E-02,NA,,,,,,,,,,,,,,
ILMN_1709975,0.0159083,3.39E-04,3.72856796,-0.36419,8.83E-02,NA,,,,,,,,,,,,,,
ILMN_2056074,0.0164448,3.62E-04,3.7100138,-0.36447,1.25E-01,262118270,RGPD2,RANBP2-like,and,GRIP,domain,containing,2,,,,,,,
ILMN_1678032,0.0217156,5.90E-04,-3.56501265,-0.36496,-1.52E-01,375331886,NR1H2,nuclear,receptor,subfamily,1,group,H,member,2,,,,,
ILMN_2186351,0.0163164,3.55E-04,-3.71532569,-0.36896,-8.26E-02,67191181,CATSPER2P1,cation,channel,sperm,associated,2,pseudogene,1,,,,,,
ILMN_1676515,0.0217685,5.91E-04,-3.56405516,-0.36914,-2.02E-01,156616276,IMPDH1,inosine,monophosphate,dehydrogenase,1,,,,,,,,,
ILMN_1686432,0.0189893,4.60E-04,3.63917907,-0.37222,1.68E-01,NA,,,,,,,,,,,,,,
ILMN_1684377,0.0181429,4.25E-04,-3.66227354,-0.37243,-1.21E-01,NA,,,,,,,,,,,,,,
ILMN_1815120,0.0163837,3.58E-04,-3.71302057,-0.37501,-8.79E-02,359718918,PRDM14,PR/SET,domain,14,,,,,,,,,,
ILMN_1712754,0.0178648,4.17E-04,3.66838362,-0.37579,1.66E-01,NA,,,,,,,,,,,,,,
ILMN_2223130,0.0218797,5.98E-04,3.56071783,-0.37883,2.85E-01,325651835,SMARCA5,SWI/SNF,"related,",matrix,"associated,",actin,dependent,regulator,of,"chromatin,",subfamily,"a,",member,5
ILMN_1661596,0.0200279,5.07E-04,3.61015839,-0.37896,1.80E-01,321116986,FLVCR1,feline,leukemia,virus,subgroup,C,cellular,receptor,1,,,,,
ILMN_1790216,0.0162696,3.53E-04,-3.71727097,-0.38127,-1.01E-01,NA,,,,,,,,,,,,,,
ILMN_1663417,0.0160749,3.46E-04,3.7232886,-0.38172,1.04E-01,255759945,TEX33,testis,expressed,33,,,,,,,,,,
ILMN_1838771,0.0160749,3.45E-04,-3.72380278,-0.38233,-8.87E-02,5053297,,,,,,,,,,,,,,
ILMN_2333107,0.0219383,6.01E-04,3.55920292,-0.38349,2.02E-01,39812026,AES,amino-terminal,enhancer,of,split,,,,,,,,,
ILMN_1668369,0.0215808,5.82E-04,-3.56867891,-0.38355,-1.65E-01,39995072,CDC37,cell,division,cycle,37,,,,,,,,,
ILMN_1720965,0.0219383,6.01E-04,-3.55901399,-0.38487,-2.19E-01,393715085,TULP4,tubby,like,protein,4,,,,,,,,,
ILMN_1887618,0.0196347,4.83E-04,3.62470839,-0.38792,1.41E-01,51011820,,,,,,,,,,,,,,
ILMN_2384216,0.0163837,3.57E-04,3.71337947,-0.38994,8.20E-02,NA,,,,,,,,,,,,,,
ILMN_1737211,0.0215808,5.81E-04,-3.56927927,-0.39046,-2.85E-01,571330727,ZNF585A,zinc,finger,protein,585A,,,,,,,,,
ILMN_1807493,0.0200279,5.06E-04,-3.61095099,-0.39141,-2.73E-01,116734711,ACVRL1,activin,A,receptor,like,type,1,,,,,,,
ILMN_1773763,0.0220521,6.09E-04,3.55513441,-0.39295,1.93E-01,332164693,MTA2,metastasis,associated,1,family,member,2,,,,,,,
ILMN_1651316,0.0220575,6.11E-04,3.55444758,-0.39987,5.17E-01,221554485,CD69,CD69,molecule,,,,,,,,,,,
ILMN_1679438,0.0184365,4.36E-04,3.65495838,-0.40379,3.05E-01,255958229,CENPU,centromere,protein,U,,,,,,,,,,
ILMN_1706057,0.0220521,6.10E-04,-3.55499508,-0.4058,-2.12E-01,38327624,CS,citrate,synthase,,,,,,,,,,,
ILMN_1662158,0.0220339,6.06E-04,3.55680804,-0.40618,2.26E-01,NA,,,,,,,,,,,,,,
ILMN_1741869,0.0215584,5.77E-04,-3.57152957,-0.40956,-1.26E-01,216548346,WDR47,WD,repeat,domain,47,,,,,,,,,
ILMN_1805449,0.0222836,6.21E-04,-3.54954625,-0.41093,-2.03E-01,157739929,TAPBPL,TAP,binding,protein,like,,,,,,,,,
ILMN_1775990,0.0196347,4.82E-04,-3.62507939,-0.41109,-1.13E-01,NA,,,,,,,,,,,,,,
ILMN_1674648,0.0187573,4.50E-04,-3.64527426,-0.41687,-1.31E-01,NA,,,,,,,,,,,,,,
ILMN_1802331,0.0169832,3.86E-04,3.69088161,-0.42073,9.36E-02,46447822,NFATC2IP,nuclear,factor,of,activated,T-cells,2,interacting,protein,,,,,
ILMN_1677416,0.0196347,4.82E-04,-3.62489152,-0.42223,-1.41E-01,NA,,,,,,,,,,,,,,
ILMN_1715713,0.0164338,3.61E-04,-3.71048336,-0.4225,-9.60E-02,237858674,NFASC,neurofascin,,,,,,,,,,,,
ILMN_1730652,0.016544,3.65E-04,-3.70704845,-0.42379,-1.00E-01,118918406,SYNE2,spectrin,repeat,containing,nuclear,envelope,protein,2,,,,,,
ILMN_1900157,0.016517,3.64E-04,-3.70830582,-0.42502,-1.13E-01,6452181,,,,,,,,,,,,,,
ILMN_1894279,0.0205532,5.30E-04,-3.59679038,-0.42526,-1.17E-01,14046329,,,,,,,,,,,,,,
ILMN_1885628,0.0164338,3.61E-04,-3.71060706,-0.42552,-7.94E-02,34368130,KSR2,kinase,suppressor,of,ras,2,,,,,,,,
ILMN_1820616,0.0167726,3.74E-04,-3.69988861,-0.42573,-8.84E-02,3039757,,,,,,,,,,,,,,
ILMN_2046856,0.0219383,6.01E-04,3.55923682,-0.42813,2.02E-01,815891094,RPS15,ribosomal,protein,S15,,,,,,,,,,
ILMN_1667594,0.0187012,4.47E-04,3.64762487,-0.42929,1.06E-01,514388114,KLF10,Kruppel,like,factor,10,,,,,,,,,
ILMN_1787980,0.0189194,4.57E-04,-3.64096169,-0.42959,-1.10E-01,29171304,SNORD109B,small,nucleolar,"RNA,",C/D,box,109B,,,,,,,
ILMN_1758215,0.0174636,4.05E-04,-3.67637589,-0.43064,-1.07E-01,226437605,ANKRD34C,ankyrin,repeat,domain,34C,,,,,,,,,
ILMN_1687609,0.016544,3.65E-04,3.70689051,-0.4311,9.38E-02,NA,,,,,,,,,,,,,,
ILMN_1779177,0.0226183,6.33E-04,3.54358946,-0.43214,1.77E-01,571330749,U2AF1L4,U2,small,nuclear,RNA,auxiliary,factor,1,like,4,,,,
ILMN_1721344,0.0226825,6.38E-04,-3.5412392,-0.43293,-1.65E-01,40018625,MOB3A,MOB,kinase,activator,3A,,,,,,,,,
ILMN_1712755,0.0216093,5.85E-04,3.56726291,-0.43535,1.86E-01,74316011,LRRC41,leucine,rich,repeat,containing,41,,,,,,,,
ILMN_1880529,0.0174242,4.04E-04,-3.67730242,-0.44115,-1.25E-01,16553922,,,,,,,,,,,,,,
ILMN_1687921,0.02266,6.36E-04,-3.54215183,-0.44243,-1.86E-01,56090145,JMJD8,jumonji,domain,containing,8,,,,,,,,,
ILMN_2147517,0.0227942,6.44E-04,3.53839512,-0.44333,2.25E-01,221316611,CD58,CD58,molecule,,,,,,,,,,,
ILMN_1860150,0.0166115,3.68E-04,-3.70483155,-0.44495,-9.20E-02,2140859,,,,,,,,,,,,,,
ILMN_2334693,0.0228465,6.47E-04,-3.53704844,-0.44542,-2.40E-01,134284355,NARF,nuclear,prelamin,A,recognition,factor,,,,,,,,
ILMN_1888556,0.0166115,3.69E-04,-3.7044131,-0.44628,-9.57E-02,14676690,MTUS2-AS1,MTUS2,antisense,RNA,1,,,,,,,,,
ILMN_1778098,0.0198688,4.96E-04,-3.61675586,-0.44896,-1.13E-01,NA,,,,,,,,,,,,,,
ILMN_1778726,0.0166115,3.70E-04,-3.70348027,-0.44976,-1.11E-01,117414138,GOT1L1,glutamic-oxaloacetic,transaminase,1-like,1,,,,,,,,,
ILMN_1775432,0.0168226,3.77E-04,3.6979404,-0.45127,9.98E-02,530339653,CSMD2,CUB,and,Sushi,multiple,domains,2,,,,,,,
ILMN_1730630,0.0198238,4.93E-04,3.618476,-0.45192,1.26E-01,283046672,CXorf56,chromosome,X,open,reading,frame,56,,,,,,,
ILMN_1680850,0.0228594,6.48E-04,3.53644151,-0.45522,1.80E-01,209977006,RECQL,RecQ,like,helicase,,,,,,,,,,
ILMN_2165354,0.018747,4.50E-04,3.64569031,-0.46296,1.16E-01,306518602,DCLK1,doublecortin,like,kinase,1,,,,,,,,,
ILMN_1847159,0.0204937,5.27E-04,-3.59836881,-0.46345,-1.20E-01,11590645,,,,,,,,,,,,,,
ILMN_1832551,0.0168259,3.77E-04,-3.69751699,-0.46367,-8.57E-02,19388809,,,,,,,,,,,,,,
ILMN_1877512,0.0169279,3.81E-04,-3.69472959,-0.46631,-7.58E-02,7152530,,,,,,,,,,,,,,
ILMN_1859330,0.0169832,3.86E-04,-3.69111442,-0.46741,-8.22E-02,23517781,,,,,,,,,,,,,,
ILMN_1676523,0.0228712,6.49E-04,3.53599565,-0.46827,1.67E-01,70980530,CCDC91,coiled-coil,domain,containing,91,,,,,,,,,
ILMN_1894355,0.0169279,3.82E-04,-3.69405388,-0.47104,-8.64E-02,30754686,,,,,,,,,,,,,,
ILMN_1785197,0.0168698,3.79E-04,3.69631232,-0.47159,8.23E-02,304434795,DBX1,developing,brain,homeobox,1,,,,,,,,,
ILMN_1903033,0.0169832,3.85E-04,-3.69133624,-0.47611,-1.05E-01,5755187,,,,,,,,,,,,,,
ILMN_2337740,0.0221233,6.13E-04,-3.55308145,-0.47925,-1.36E-01,393715085,TULP4,tubby,like,protein,4,,,,,,,,,
ILMN_1696883,0.021908,5.99E-04,3.56010359,-0.47942,1.50E-01,NA,,,,,,,,,,,,,,
ILMN_1714274,0.0200279,5.06E-04,3.610493,-0.48027,1.33E-01,523567534,ZNF274,zinc,finger,protein,274,,,,,,,,,
ILMN_1657662,0.0172506,3.97E-04,3.68233829,-0.48043,8.19E-02,218505673,ERI2,ERI1,exoribonuclease,family,member,2,,,,,,,,
ILMN_1862873,0.0200279,5.03E-04,-3.61270797,-0.48116,-1.07E-01,4664072,,,,,,,,,,,,,,
ILMN_1755883,0.0230862,6.61E-04,3.53042788,-0.48344,2.45E-01,294459919,RPS27A,ribosomal,protein,S27a,,,,,,,,,,
ILMN_1812067,0.0200279,5.05E-04,3.61133172,-0.48544,1.57E-01,262231832,RER1,retention,in,endoplasmic,reticulum,sorting,receptor,1,,,,,,
ILMN_1774844,0.0226049,6.32E-04,3.54420923,-0.48589,2.14E-01,341865588,MAPKAPK2,mitogen-activated,protein,kinase-activated,protein,kinase,2,,,,,,,
ILMN_2128048,0.0170587,3.88E-04,3.68931317,-0.48822,8.35E-02,730229391,PCDHB3,protocadherin,beta,3,,,,,,,,,,
ILMN_1773681,0.0169832,3.85E-04,-3.69146888,-0.48842,-9.07E-02,NA,,,,,,,,,,,,,,
ILMN_1680010,0.0206936,5.38E-04,3.592234,-0.48961,1.53E-01,154689846,KIAA0753,KIAA0753,,,,,,,,,,,,
ILMN_2339955,0.0217156,5.89E-04,3.56519269,-0.49275,3.72E-01,187423888,NR4A2,nuclear,receptor,subfamily,4,group,A,member,2,,,,,
ILMN_1796835,0.0226964,6.39E-04,3.54056864,-0.49608,1.13E-01,153252153,RWDD3,RWD,domain,containing,3,,,,,,,,,
ILMN_1775167,0.0173216,4.01E-04,-3.67982305,-0.49668,-9.99E-02,574957080,CEACAM16,carcinoembryonic,antigen,related,cell,adhesion,molecule,16,,,,,,
ILMN_2241679,0.0171425,3.92E-04,3.68608035,-0.49756,8.27E-02,514825565,UBE2D3,ubiquitin,conjugating,enzyme,E2,D3,,,,,,,,
ILMN_1814122,0.0236245,6.86E-04,3.51936388,-0.49825,2.79E-01,132626687,MDC1,mediator,of,DNA,damage,checkpoint,1,,,,,,,
ILMN_1704619,0.0235287,6.82E-04,3.52123546,-0.49865,1.33E-01,531990851,VPS29,"VPS29,",retromer,complex,component,,,,,,,,,
ILMN_1725130,0.0235287,6.81E-04,-3.52135984,-0.50047,-1.37E-01,356582413,FAM50A,family,with,sequence,similarity,50,member,A,,,,,,
ILMN_1709101,0.0236721,6.90E-04,-3.51768856,-0.50298,-1.42E-01,395627647,AKAP13,A-kinase,anchoring,protein,13,,,,,,,,,
ILMN_1774948,0.0172506,3.97E-04,3.68238002,-0.50388,1.11E-01,NA,,,,,,,,,,,,,,
ILMN_1751161,0.0218755,5.98E-04,-3.56100121,-0.50637,-3.41E-01,157389010,COL7A1,collagen,type,VII,alpha,1,chain,,,,,,,
ILMN_1804104,0.0187378,4.49E-04,3.6461324,-0.50742,1.13E-01,46488942,ZAP70,zeta,chain,of,T,cell,receptor,associated,protein,kinase,70,,,
ILMN_1713918,0.0186108,4.44E-04,3.64983525,-0.50966,8.34E-02,33946275,CYTH3,cytohesin,3,,,,,,,,,,,
ILMN_1695814,0.0200279,5.03E-04,-3.61244448,-0.51109,-1.37E-01,NA,,,,,,,,,,,,,,
ILMN_1706558,0.0236721,6.89E-04,3.51793952,-0.51274,1.80E-01,222831586,TRMT61B,tRNA,methyltransferase,61B,,,,,,,,,,
ILMN_1725644,0.0220521,6.07E-04,3.55616866,-0.51341,1.39E-01,33188457,UBE2D2,ubiquitin,conjugating,enzyme,E2,D2,,,,,,,,
ILMN_1756935,0.0173216,4.00E-04,3.68021882,-0.51443,1.19E-01,319996741,OSBPL6,oxysterol,binding,protein,like,6,,,,,,,,
ILMN_1724811,0.0239177,7.00E-04,3.51328447,-0.51463,1.79E-01,339715199,PARN,poly(A)-specific,ribonuclease,,,,,,,,,,,
ILMN_1842039,0.0182827,4.29E-04,-3.65974774,-0.5155,-1.05E-01,24799521,,,,,,,,,,,,,,
ILMN_1880721,0.0223025,6.22E-04,-3.54893022,-0.51714,-1.22E-01,16550760,SLC5A3,solute,carrier,family,5,member,3,,,,,,,
ILMN_1718610,0.0239478,7.03E-04,-3.51205549,-0.51841,-2.06E-01,569026699,ARHGAP17,Rho,GTPase,activating,protein,17,,,,,,,,
ILMN_1756204,0.0231694,6.65E-04,3.52872577,-0.52023,1.71E-01,56243503,RPS6KA4,ribosomal,protein,S6,kinase,A4,,,,,,,,
ILMN_1873440,0.0180329,4.22E-04,-3.66467039,-0.52071,-9.33E-02,NA,,,,,,,,,,,,,,
ILMN_1809478,0.0239518,7.04E-04,3.51146475,-0.52281,2.57E-01,374671777,SSBP1,single,stranded,DNA,binding,protein,1,,,,,,,
ILMN_1790988,0.0173303,4.02E-04,-3.67915379,-0.52408,-9.48E-02,820870757,OR5K1,olfactory,receptor,family,5,subfamily,K,member,1,,,,,
ILMN_1812980,0.0191094,4.64E-04,3.63674501,-0.52475,1.00E-01,78042579,OR2H2,olfactory,receptor,family,2,subfamily,H,member,2,,,,,
ILMN_1799853,0.0222836,6.21E-04,3.54940663,-0.52651,1.08E-01,526252796,SPTLC1,serine,palmitoyltransferase,long,chain,base,subunit,1,,,,,,
ILMN_1748291,0.0240215,7.09E-04,-3.50943397,-0.52716,-1.38E-01,148664215,SDE2,SDE2,telomere,maintenance,homolog,,,,,,,,,
ILMN_1749006,0.0240278,7.11E-04,3.50869316,-0.52808,1.80E-01,217035153,RCSD1,RCSD,domain,containing,1,,,,,,,,,
ILMN_1690122,0.0240278,7.11E-04,-3.50855356,-0.53088,-1.34E-01,219555643,CRKL,CRK,like,"proto-oncogene,",adaptor,protein,,,,,,,,
ILMN_1661173,0.0240845,7.13E-04,-3.50758853,-0.53097,-1.18E-01,301601627,TRIP4,thyroid,hormone,receptor,interactor,4,,,,,,,,
ILMN_1791400,0.0193405,4.72E-04,3.63167831,-0.53373,1.16E-01,570359585,ATE1,arginyltransferase,1,,,,,,,,,,,
ILMN_1811754,0.0241896,7.17E-04,3.50605718,-0.53684,2.63E-01,161169039,NDUFB10,NADH:ubiquinone,oxidoreductase,subunit,B10,,,,,,,,,
ILMN_1689342,0.0242276,7.18E-04,-3.50537021,-0.53704,-1.87E-01,511772978,NUBP1,nucleotide,binding,protein,1,,,,,,,,,
ILMN_1884663,0.017506,4.07E-04,-3.67514299,-0.53807,-8.32E-02,6451262,LINC00677,long,intergenic,non-protein,coding,RNA,677,,,,,,,
ILMN_1783448,0.0242645,7.21E-04,-3.50427905,-0.54006,-2.08E-01,38505264,DYNC1LI2,dynein,cytoplasmic,1,light,intermediate,chain,2,,,,,,
ILMN_1909542,0.0187662,4.51E-04,-3.64488181,-0.54057,-1.18E-01,30213892,,,,,,,,,,,,,,
ILMN_1799278,0.0195702,4.80E-04,-3.62667841,-0.54101,-1.06E-01,443609470,CD101,CD101,molecule,,,,,,,,,,,
ILMN_1795944,0.0219562,6.03E-04,3.55831894,-0.54116,1.25E-01,133778979,PRR13,proline,rich,13,,,,,,,,,,
ILMN_2125880,0.0221233,6.14E-04,-3.55291218,-0.54328,-1.52E-01,223890213,ZNF566,zinc,finger,protein,566,,,,,,,,,
ILMN_1732000,0.0200279,5.05E-04,-3.61160551,-0.54457,-9.54E-02,NA,,,,,,,,,,,,,,
ILMN_1752947,0.0239478,7.02E-04,3.51214336,-0.54683,2.37E-01,217416380,COPRS,coordinator,of,PRMT5,and,differentiation,stimulator,,,,,,,
ILMN_1716866,0.0176383,4.11E-04,-3.67266449,-0.54912,-7.51E-02,114155132,DNAH9,dynein,axonemal,heavy,chain,9,,,,,,,,
ILMN_1691772,0.0205885,5.33E-04,3.59532965,-0.55324,1.20E-01,109715824,ZSCAN29,zinc,finger,and,SCAN,domain,containing,29,,,,,,
ILMN_2392352,0.0244632,7.32E-04,-3.49985209,-0.55522,-1.73E-01,528881093,CTPS2,CTP,synthase,2,,,,,,,,,,
ILMN_1660698,0.0240127,7.08E-04,3.50975613,-0.56146,1.92E-01,56549686,GTPBP8,GTP,binding,protein,8,(putative),,,,,,,,
ILMN_1802190,0.0178674,4.17E-04,3.66786068,-0.56235,1.15E-01,260764002,FOXJ1,forkhead,box,J1,,,,,,,,,,
ILMN_1666670,0.0246293,7.38E-04,3.49703425,-0.56607,2.34E-01,307344681,RBX1,ring-box,1,,,,,,,,,,,
ILMN_1676759,0.0247569,7.46E-04,3.49405331,-0.5709,1.97E-01,224593277,DDX27,DEAD-box,helicase,27,,,,,,,,,,
ILMN_2080158,0.0209253,5.53E-04,3.58417949,-0.57926,1.42E-01,NA,,,,,,,,,,,,,,
ILMN_1723535,0.0200279,5.07E-04,3.61022514,-0.5794,1.01E-01,469832256,P2RY2,purinergic,receptor,P2Y2,,,,,,,,,,
ILMN_1777449,0.0246976,7.42E-04,3.49558944,-0.58106,1.92E-01,151105228,IFT74,intraflagellar,transport,74,,,,,,,,,,
ILMN_1677138,0.02499,7.59E-04,3.48868537,-0.58155,2.93E-01,NA,,,,,,,,,,,,,,
ILMN_2351930,0.024931,7.56E-04,-3.48969615,-0.58164,-1.33E-01,74027250,TRIM33,tripartite,motif,containing,33,,,,,,,,,
ILMN_1831914,0.0186108,4.44E-04,-3.64962332,-0.58422,-7.64E-02,19358995,FKBP2,FK506,binding,protein,2,,,,,,,,,
ILMN_2152502,0.0234888,6.78E-04,3.5227838,-0.58453,1.97E-01,218505842,MGC72080,MGC72080,pseudogene,,,,,,,,,,,
ILMN_2089175,0.0250168,7.63E-04,3.48722763,-0.5861,3.38E-01,282165724,SYAP1,synapse,associated,protein,1,,,,,,,,,
ILMN_2293677,0.0201102,5.10E-04,3.60834046,-0.58863,1.09E-01,539846302,STAG2,stromal,antigen,2,,,,,,,,,,
ILMN_1796458,0.0250124,7.61E-04,-3.48779597,-0.58903,-1.58E-01,27374999,GABARAPL2,GABA,type,A,receptor,associated,protein,like,2,,,,,
ILMN_1800420,0.0246976,7.42E-04,-3.49556909,-0.58959,-1.74E-01,503775211,RNF214,ring,finger,protein,214,,,,,,,,,
ILMN_1873464,0.0183036,4.30E-04,-3.65889461,-0.58976,-6.60E-02,24807973,,,,,,,,,,,,,,
ILMN_1734810,0.0218234,5.95E-04,-3.56216807,-0.59163,-9.59E-02,296080724,PJA1,praja,ring,finger,ubiquitin,ligase,1,,,,,,,
ILMN_1723443,0.0182878,4.29E-04,-3.65940836,-0.59316,-7.21E-02,126012572,LRP2,LDL,receptor,related,protein,2,,,,,,,,
ILMN_1798581,0.0248806,7.52E-04,3.49125582,-0.59331,3.06E-01,528078332,MCM8,minichromosome,maintenance,8,homologous,recombination,repair,factor,,,,,,
ILMN_1837990,0.0183236,4.32E-04,-3.65784698,-0.59364,-8.41E-02,2165310,,,,,,,,,,,,,,
ILMN_1712031,0.0215808,5.83E-04,-3.56824566,-0.59427,-1.11E-01,NA,,,,,,,,,,,,,,
ILMN_2173740,0.0249993,7.60E-04,3.48836661,-0.59559,2.23E-01,985481922,ASB8,ankyrin,repeat,and,SOCS,box,containing,8,,,,,,
ILMN_1678391,0.0183236,4.32E-04,3.65780018,-0.59582,1.05E-01,93277100,SPEF2,sperm,flagellar,2,,,,,,,,,,
ILMN_1716909,0.0251848,7.70E-04,-3.48406719,-0.59619,-7.95E-01,223718684,ADAMDEC1,ADAM,like,decysin,1,,,,,,,,,
ILMN_1785926,0.0252661,7.76E-04,-3.4819608,-0.60125,-1.18E-01,564730573,ZNF621,zinc,finger,protein,621,,,,,,,,,
ILMN_1674661,0.0252113,7.72E-04,3.48333894,-0.60145,2.77E-01,186972139,CIRBP,cold,inducible,RNA,binding,protein,,,,,,,,
ILMN_1782635,0.0252661,7.76E-04,3.48169833,-0.60376,1.95E-01,NA,,,,,,,,,,,,,,
ILMN_1684298,0.0187085,4.48E-04,-3.64705886,-0.606,-8.16E-02,NA,,,,,,,,,,,,,,
ILMN_1657600,0.01856,4.41E-04,3.65161027,-0.60666,1.03E-01,528281398,NCAPH,non-SMC,condensin,I,complex,subunit,H,,,,,,,
ILMN_1700543,0.0185708,4.42E-04,-3.65102352,-0.60696,-8.02E-02,NA,,,,,,,,,,,,,,
ILMN_1889155,0.0187012,4.47E-04,-3.64742766,-0.60763,-8.61E-02,38529002,,,,,,,,,,,,,,
ILMN_2403247,0.0252764,7.83E-04,3.47932432,-0.60787,2.02E-01,999809134,CMTM7,CKLF,like,MARVEL,transmembrane,domain,containing,7,,,,,,
ILMN_1799113,0.0242645,7.21E-04,3.50430557,-0.60787,1.81E-01,109134354,CEP83,centrosomal,protein,83,,,,,,,,,,
ILMN_1762312,0.0252764,7.83E-04,3.47930692,-0.60934,2.16E-01,315113912,FOXRED1,FAD,dependent,oxidoreductase,domain,containing,1,,,,,,,
ILMN_1801045,0.0237621,6.94E-04,-3.51589091,-0.60936,-1.21E-01,115527077,SPIN3,spindlin,family,member,3,,,,,,,,,
ILMN_1792825,0.0253536,7.86E-04,-3.47797318,-0.61227,-1.79E-01,955471909,ARIH2,ariadne,RBR,E3,ubiquitin,protein,ligase,2,,,,,,
ILMN_1714118,0.0188082,4.53E-04,3.64371452,-0.61329,8.83E-02,612407789,CD164L2,CD164,molecule,like,2,,,,,,,,,
ILMN_1856691,0.01856,4.41E-04,-3.65145115,-0.6134,-8.06E-02,76555435,TEX15,testis,expressed,15,,,,,,,,,,
ILMN_1869210,0.0192171,4.68E-04,-3.63407689,-0.61496,-1.05E-01,2341669,,,,,,,,,,,,,,
ILMN_2158781,0.0186874,4.46E-04,3.64815364,-0.61626,8.88E-02,NA,,,,,,,,,,,,,,
ILMN_1697880,0.0248783,7.51E-04,-3.49169666,-0.62083,-1.77E-01,340805821,PLD2,phospholipase,D2,,,,,,,,,,,
